Product name,Price (€),Product category,Use category
Red Yeast Rice - Hong qu mi,11.7,TMC Herbs,Cardiovascular health
Red ginseng root - Hong shen,16.9,TMC Herbs,Fatigue and Energy
Red sage - Dan shen,29.3,TMC Herbs,Others
Reishi mushroom – Emperors’ Mushroom - Ling zhi,10.9,Mushroom; TMC Herbs,Fatigue and Energy
Relaxation and Restorative Sleep Herbal Tea - An shen cha,12.5,Homemade blends,Calm and well-being
Rhodiola - Hong jing tian,11.9,TMC Herbs,Others
Rhododendron - Man shan hong,7.9,TMC Herbs,Others
Rock Fern - Shi wei,7.9,TMC Herbs,Detox and drainer; Urinary comfort
Rock Reed - Shi chang pu,10.6,TMC Herbs,Calm and well-being
Roman Chamomile,9.7,Bulk plantes,Others
Root of Rehmannia - Sheng di huang,10.9,TMC Herbs,Fatigue and Energy
"Rose Buds – Gentleness, Lightness & Inner Circulation - Mei gui hua",11.9,Flower infusions; TMC Herbs,Calm and well-being
Rosemary - Romarin,29.5,Bulk plantes,Others
Rou gui,13.9,Plant powder,Others
Rough Horsetail - Mu zei,9.4,TMC Herbs,Detox and drainer; Fatigue and Energy
Run chang wan,27.9,Others,Digestion
Sacred Lotus - He ye,6.9,TMC Herbs,Beauty and slimming
Safflower - Hong hua,21.8,Flower infusions; TMC Herbs,Circulation
Saponaria seeds - Wang bu liu xing,9.3,TMC Herbs,Male balance; Urinary comfort
Sappanwood - Su mu,9.9,TMC Herbs,Others
Sautéed Water Plantain with Wheat Bran - Ze xie,10.9,TMC Herbs,Detox and drainer
Schisandra seed - Wu wei zi,9.9,TMC Herbs,Fatigue and Energy
Sea buckthorn Fruits - Sha ji,9.9,TMC Herbs,Fatigue and Energy
Seeds of Thorny Water Lily - Roasted Seeds - Qian shi,9.9,TMC Herbs,Male balance; Sexual vitality; Urinary comfort
Senior Memory Herbal Tea - Huang qi bu nao tang,12.8,Homemade blends,Calm and well-being
Serenity formula - Chai hu ge gen tang,37.9,Food supplements,Calm and well-being; Detox and drainer
Shaggy mane - Mao tou gui san,9.3,Mushroom,Cardiovascular health; Fatigue and Energy
Sheng mai yin,32.9,Others,Cardiovascular health
Shepherd's Purse - Bourse à pasteur,9.3,Bulk plantes,Circulation; Female balance
Shi chang pu,16.7,Plant powder,Others
Shiitake - Xiang gu,9.9,Mushroom,Fatigue and Energy
Shou fu jiang zhi jian fei wan,26.9,Others,Beauty and slimming
Shoulder Mobility Herbal Tea - Sang zhi sheng shi tang,10.9,Homemade blends,Articulations and muscles
Shu gan zhi tong wan,27.9,Others,Digestion
Si miao san,27.9,Others,Articulations and muscles; Circulation; Urinary comfort
Si shen tang,10.9,Homemade blends,Others
Siberian Ginseng - Ci wu jia,9.9,TMC Herbs,Fatigue and Energy
Siberian Solomon's-seal - Huang jing,11.9,TMC Herbs,Fatigue and Energy
Sichuan pepper (Ma) - Hua jiao (ma),9.9,Others,Digestion
Sichuan pepper (Qing) - Hua jiao (qing),9.9,Others,Digestion
Siler - Fang feng,10.9,TMC Herbs,Others
Silk tree - He huan pi,9.7,TMC Herbs,Calm and well-being
Silver Ear Mushroom - Mu er (yin),10.9,Mushroom,Beauty and slimming
Simpleleaf chastetree - Man jing zi,9.3,TMC Herbs,Fatigue and Energy
Singer's Herbal Tea - Run hou cha,14.3,Homemade blends,Respiratory comfort
Sleep Formula - An mian wan,37.9,Food supplements,Calm and well-being
Slimming Formula - Jian fei wan,37.9,Food supplements,Beauty and slimming
Small-leafed knotweed - Yuan zhi (zhi),12.9,TMC Herbs,Calm and well-being
Snow fungus - Mu er (xue),10.7,Mushroom,Beauty and slimming
Soothed head formula - Gou teng qing kong tang,39.9,Food supplements,Fatigue and Energy
Sophora japonica - Huai hua mi,9.8,TMC Herbs,Circulation
Southern ginseng - Jiao gu lan,10.9,TMC Herbs,Others
Spiny bamboo - Zhu ru (jiang),7.9,TMC Herbs,Respiratory comfort
Sports Energy Formula - Jian shen wan,41.9,Food supplements,Fatigue and Energy
Star Jasmine liana - Luo shi teng,9.6,TMC Herbs,Articulations and muscles
Star anise - Ba jiao hui xiang,11.9,TMC Herbs,Digestion
Stonecrop - Chui pen cao,7.4,TMC Herbs,Detox and drainer; Urinary comfort
Stress and overwork formula - An Shen Wan,39.9,Food supplements,Calm and well-being
Sugar Balance Herbal Tea - Wu wei jiang tang tang,12.3,Homemade blends,Cardiovascular health
Sugar formula - Wu wei jiang tang tang,38.9,Food supplements,Cardiovascular health
Sundews - Droséras,13.9,Bulk plantes,Others
Supergreens Discovery Pack - Find Your Perfect Green Ally,9.9,Others,Cardiovascular health; Fatigue and Energy
Sweet violet - Zi luo lan,8.9,Flower infusions; TMC Herbs,Others
Sword-leaf Dogbane - Luo bu ma ye,10.6,TMC Herbs,Cardiovascular health
Szechuan lovage - Chuan xiong,10.9,TMC Herbs,Fatigue and Energy
Taxillus Branch - Sang ji sheng,10.8,TMC Herbs,Articulations and muscles
Tian ma gou teng wan,27.9,Others,Cardiovascular health
Tian wang bu xin dan,29.9,Others,Calm and well-being
Tisane Éveil du Printemps - Chrysanthème et baies de goji,5.0,Tea,Others
Tong qiao xiao yao san,28.9,Others,Calm and well-being
Treasure of Youth Formula - Huang qi sheng mai yin,43.9,Food supplements,Calm and well-being; Fatigue and Energy
Turmeric - Jiang huang,9.5,TMC Herbs,Others
Turmeric Roots Cut Bio,6.9,Bio,Others
Turmeric tuber - Yu jin,10.9,TMC Herbs,Digestion
Uric Acid Formula - Tong feng wan,37.9,Food supplements,Articulations and muscles
Urinary Comfort Herbal Tea - Qu mai qing xia cha,9.9,Homemade blends,Urinary comfort
Urinary detox Formula - Qu mai qing xia san,36.9,Food supplements,Urinary comfort
Valerian Roots Cut Bio,8.9,Bio; Bulk plantes,Others
Wax Gourd skin - Dong gua pi,7.9,TMC Herbs,Others
White HoreHound - Marrube Blanc,9.6,Bulk plantes,Others
White Ox Knee root - Niu xi (Huai),9.9,TMC Herbs,Articulations and muscles
White mulberry - Sang bai pi,9.9,TMC Herbs,Respiratory comfort
White mustard seeds - Bai jie zi,9.6,TMC Herbs,Respiratory comfort
White peony - Bai shao yao,11.5,TMC Herbs,Others
White pepper - Hu jiao (bai),10.7,TMC Herbs,Digestion
Wild Leek - Jiu cai zi,10.9,TMC Herbs,Sexual vitality
Wild Teasel Root - Xu duan,11.9,TMC Herbs,Others
Wild privet seed - Nü zhen zi,9.3,TMC Herbs,Female balance; Sexual vitality
Willow - Saule,9.6,Bulk plantes,Others
Winter Jasmine - Ying chun hua,7.5,Flower infusions,Urinary comfort
Winter Savory Leaves Bio,6.9,Bio,Others
Witch-Hazel - Hamamélis,9.9,Bulk plantes,Others
Women's Treasure Formula - Nü bao,37.9,Food supplements,Sexual vitality
Wood acupressure pen - hong mu dian xue bang,6.7,Others,Beauty and slimming
Wu hei tang,27.9,Others,Beauty and slimming
Wu ling san,43.9,Others,Detox and drainer
Wu pi yin,27.9,Others,Detox and drainer
Wu wei zi,16.7,Plant powder,Others
Wu yuan Royal Chrysanthemum - Wu yuan huang ju,7.9,Flower infusions,Detox and drainer; Fatigue and Energy
Wu zi yan zong wan,29.9,Others,Sexual vitality
Xiang fu,15.3,Plant powder,Others
Xiao yao san,27.9,Others,Calm and well-being
Xin hui mandarin peel - Chen pi (Xinhui),13.8,Others,Cardiovascular health; Fatigue and Energy
Yam - Shan yao,10.9,TMC Herbs,Fatigue and Energy
Yang source,30.9,Others,MTV
Yarrow - Achillée Millefeuille,9.7,Bulk plantes,Others
Ye jiao teng,15.1,Plant powder,Others
Yellow Melilot - Mélilot,9.7,Bulk plantes,Others
Yi Yi Ren Extract – Natural Drainage & Digestive Balance,37.9,Others,Circulation; Detox and drainer; Fatigue and Energy; Urinary comfort
Yi mu cao,15.2,Plant powder,Others
Yin qiao pian,28.9,Others,Respiratory comfort
Yin source,28.9,Others,MTV
You gui wan,27.9,Others,Sexual vitality
"Yu Ping Feng San - Immunity, Allergy Prevention & Anti-Fatigue",27.9,Others,Fatigue and Energy
Yu dai wan,26.9,Others,Female balance
Yuan zhi chang pu san,28.9,Others,Calm and well-being
Zhe bei mu,16.8,Plant powder,Others
Zhen zhu an chuang wan,28.9,Others,Beauty and slimming
Zhi mu,16.1,Plant powder,Others
Zi shi ying,15.1,Plant powder,Others
detox digestive tea - Xiao shi cha,11.9,Others,Calm and well-being; Digestion
Épilobe,9.8,Others,Male balance; Urinary comfort
